2019-04-23 16:12:20.952 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:12:21.051 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-04-23 16:12:21.053 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-04-23 16:12:21.054 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-04-23 16:12:20.943 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 12:50:56.602 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 12:50:56.602 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 12:50:56.602 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 12:50:56.602 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 12:50:56.602 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 12:50:56.602 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 12:50:56.602 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 12:52:07.582 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 12:52:07.665 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 12:52:07.669 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 12:52:07.671 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 12:52:07.575 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 12:52:07.575 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 12:52:07.575 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 12:52:07.575 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 12:52:07.575 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 12:52:07.575 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 12:52:07.575 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:02:35.66 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:02:35.737 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:02:35.739 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:02:35.741 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:02:35.651 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:02:35.651 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:02:35.651 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:02:35.651 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:02:35.651 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:02:35.651 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:02:35.651 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:04:09.231 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:04:09.307 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:04:09.31 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:04:09.313 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:04:09.224 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:04:09.224 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:04:09.224 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:04:09.224 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:04:09.224 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:04:09.224 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:04:09.224 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:08:06.161 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:08:06.24 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:08:06.243 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:08:06.245 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:08:06.154 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:08:06.154 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:08:06.154 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:08:06.154 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:08:06.154 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:08:06.154 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:08:06.154 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:16:01.258 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:16:01.332 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:16:01.335 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:16:01.337 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:16:01.25 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:16:01.25 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:16:01.25 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:16:01.25 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:16:01.25 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:16:01.25 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:16:01.25 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:38:36.636 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:38:36.773 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:38:36.776 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:38:36.779 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:38:36.629 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:38:36.629 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:38:36.629 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:38:36.629 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:38:36.629 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:38:36.629 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:38:36.629 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:40:23.412 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:40:23.486 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:40:23.489 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:40:23.491 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:40:23.405 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:40:23.405 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:40:23.405 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:40:23.405 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:40:23.405 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:40:23.405 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:40:23.405 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-11 14:41:13.317 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 14:41:13.394 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 14:41:13.397 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 14:41:13.399 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-11 14:41:13.31 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-05-11 14:41:13.31 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-05-11 14:41:13.31 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-05-11 14:41:13.31 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-05-11 14:41:13.31 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-05-11 14:41:13.31 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-11 14:41:13.31 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-05-24 20:19:17.928 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:19:18.051 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:19:18.055 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:19:18.065 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:19:16.309 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:20:37.739 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:20:37.77 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:20:37.773 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:20:37.775 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:20:36.038 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:21:06.366 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:21:06.574 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:21:06.576 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:21:06.578 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:21:04.704 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:21:04.704 addFisaPacientului, , pacient: 2990713170024, FisaPacientului{Servicii{data=2015-04-12}grupaSange='A2', rh='pozitiv'}
2019-05-24 20:21:04.704 addFisaPacientului, , pacient: 2990813170021, FisaPacientului{Servicii{data=2015-04-13}grupaSange='B3', rh='pozitiv'}
2019-05-24 20:21:34.141 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:21:34.171 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:21:34.174 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:21:34.177 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:21:32.273 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:21:32.273 addFisaPacientului, , pacient: 2990713170024, FisaPacientului{Servicii{data=2015-04-12}grupaSange='A2', rh='pozitiv'}
2019-05-24 20:21:32.273 addFisaPacientului, , pacient: 2990813170021, FisaPacientului{Servicii{data=2015-04-13}grupaSange='B3', rh='pozitiv'}
2019-05-24 20:25:55.117 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:25:55.147 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:25:55.15 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:25:55.154 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:25:53.347 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:25:53.347 addFisaPacientului, , pacient: 2990713170024, FisaPacientului{Servicii{data=2015-04-12}grupaSange='A2', rh='pozitiv'}
2019-05-24 20:25:53.347 addFisaPacientului, , pacient: 2990813170021, FisaPacientului{Servicii{data=2015-04-13}grupaSange='B3', rh='pozitiv'}
2019-05-24 20:26:22.022 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:26:22.043 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:26:22.046 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:26:22.048 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:26:19.983 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:26:19.983 addFisaPacientului, , pacient: 2990713170024, FisaPacientului{Servicii{data=2015-04-12}grupaSange='A2', rh='pozitiv'}
2019-05-24 20:26:19.983 addFisaPacientului, , pacient: 2990813170021, FisaPacientului{Servicii{data=2015-04-13}grupaSange='B3', rh='pozitiv'}
2019-05-24 20:26:48.888 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:26:48.91 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:26:48.913 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:26:48.916 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:26:47.372 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:26:47.372 addFisaPacientului, , pacient: 2990713170024, FisaPacientului{Servicii{data=2015-04-12}grupaSange='A2', rh='pozitiv'}
2019-05-24 20:26:47.372 addFisaPacientului, , pacient: 2990813170021, FisaPacientului{Servicii{data=2015-04-13}grupaSange='B3', rh='pozitiv'}
2019-05-24 20:26:47.372 getOne, Popescu
2019-05-24 20:26:47.372 getByPacient, 2990713170024
2019-05-24 20:26:47.372 getOne, Popescu
2019-05-24 20:26:57.199 addPacient, medic: 2990723170025, pacient: 299812175524
2019-05-24 20:26:47.372 getOne, Popescu
2019-05-24 20:26:47.372 getOne, Popescu
2019-05-24 20:26:57.207 deletePacient, medic: 2990723170025, pacient: 2990713170024
2019-05-24 20:36:50.766 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-24 20:36:50.843 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-24 20:36:51.044 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-24 20:36:51.144 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-05-24 20:36:48.894 addAlergie, medic: null, pacient: null, Alergie{Boala{Servicii{data=2010-04-15}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-05-24 20:36:48.894 addFisaPacientului, , pacient: 2990713170024, FisaPacientului{Servicii{data=2015-04-12}grupaSange='A2', rh='pozitiv'}
